Date,Symbol,Type,Lot Number,Volume,Price per Share,Commission,Tax Rate,Remark
2024-12-03,PTT.BK,BUY,PTT.BK-78,100.00,32.50,3.16,,
2024-12-04,PTT.BK,BUY,PTT.BK-79,100.00,32.25,2.82,,
2024-12-06,PTT.BK,BUY,PTT.BK-80,300.00,32.25,8.50,,
2024-12-12,PTT.BK,BUY,PTT.BK-81,200.00,32.00,5.61,,
2024-12-19,PTT.BK,BUY,PTT.BK-82,100.00,32.00,2.81,,
2024-12-20,PTT.BK,BUY,PTT.BK-83,100.00,31.75,2.78,,
2025-03-06,PTT.BK,BUY,PTT.BK-84,100.00,30.00,2.63,,
2025-03-10,PTT.BK,BUY,PTT.BK-85,200.00,28.75,5.04,,
2025-03-12,PTT.BK,BUY,PTT.BK-86,100.00,27.50,2.42,,
2025-03-13,PTT.BK,BUY,PTT.BK-87,200.00,27.25,4.78,,
2025-04-23,PTT.BK,BUY,PTT.BK-88,100.00,30.50,2.68,,
2025-06-10,PTT.BK,BUY,PTT.BK-89,100.00,29.75,2.61,,
